,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,29,29.85,0,1,0,0,1,0,0,0,0,1,0
1,1,0,0,0,34,1,0,1,0,1,0,0,0,0,56,1889.5,0,1,0,0,0,1,0,0,0,0,1
2,1,0,0,0,2,1,0,1,1,0,0,0,0,1,53,108.15,1,1,0,0,1,0,0,0,0,0,1
3,1,0,0,0,45,0,0,1,0,1,1,0,0,0,42,1840.75,0,1,0,0,0,1,0,1,0,0,0
4,0,0,0,0,2,1,0,0,0,0,0,0,0,1,70,151.65,1,0,1,0,1,0,0,0,0,1,0
5,0,0,0,0,8,1,1,0,0,1,0,1,1,1,99,820.5,1,0,1,0,1,0,0,0,0,1,0
6,1,0,0,1,22,1,1,0,1,0,0,1,0,1,89,1949.4,0,0,1,0,1,0,0,0,1,0,0
7,0,0,0,0,10,0,0,1,0,0,0,0,0,0,29,301.9,0,1,0,0,1,0,0,0,0,0,1
8,0,0,1,0,28,1,1,0,0,1,1,1,1,1,104,3046.05,1,0,1,0,1,0,0,0,0,1,0
9,1,0,0,1,62,1,0,1,1,0,0,0,0,0,56,3487.95,0,1,0,0,0,1,0,1,0,0,0
10,1,0,1,1,13,1,0,1,0,0,0,0,0,1,49,587.45,0,1,0,0,1,0,0,0,0,0,1
11,1,0,0,0,16,1,0,0,0,0,0,0,0,0,18,326.8,0,0,0,1,0,0,1,0,1,0,0
12,1,0,1,0,58,1,1,0,0,1,0,1,1,0,100,5681.1,0,0,1,0,0,1,0,0,1,0,0
13,1,0,0,0,49,1,1,0,1,1,0,1,1,1,103,5036.3,1,0,1,0,1,0,0,1,0,0,0
14,1,0,0,0,25,1,0,1,0,1,1,1,1,1,105,2686.05,0,0,1,0,1,0,0,0,0,1,0
15,0,0,1,1,69,1,1,1,1,1,1,1,1,0,113,7895.15,0,0,1,0,0,0,1,0,1,0,0
16,0,0,0,0,52,1,0,0,0,0,0,0,0,0,20,1022.95,0,0,0,1,0,1,0,0,0,0,1
17,1,0,0,1,71,1,1,1,0,1,0,1,1,0,106,7382.25,0,0,1,0,0,0,1,1,0,0,0
18,0,0,1,1,10,1,0,0,0,1,1,0,0,0,55,528.35,1,1,0,0,1,0,0,0,1,0,0
19,0,0,0,0,21,1,0,0,1,1,0,0,1,1,90,1862.9,0,0,1,0,1,0,0,0,0,1,0
20,1,1,0,0,1,0,0,0,0,1,0,0,1,1,39,39.65,1,1,0,0,1,0,0,0,0,1,0
21,1,0,1,0,12,1,0,0,0,0,0,0,0,0,19,202.25,0,0,0,1,0,1,0,1,0,0,0
22,1,0,0,0,1,1,0,0,0,0,0,0,0,0,20,20.15,1,0,0,1,1,0,0,0,0,0,1
23,0,0,1,0,58,1,1,0,1,0,1,0,0,1,59,3505.1,0,1,0,0,0,0,1,0,1,0,0
24,1,0,1,1,49,1,0,1,1,0,1,0,0,0,59,2970.3,0,1,0,0,1,0,0,0,1,0,0
25,0,0,0,0,30,1,0,1,1,0,0,0,0,1,55,1530.6,0,1,0,0,1,0,0,1,0,0,0
26,1,0,1,1,47,1,1,0,1,0,0,1,1,1,99,4749.15,1,0,1,0,1,0,0,0,0,1,0
27,1,0,1,1,1,0,0,0,1,0,0,0,0,0,30,30.2,1,1,0,0,1,0,0,0,0,1,0
28,1,0,1,0,72,1,1,1,1,1,1,1,1,1,90,6369.45,0,1,0,0,0,0,1,0,1,0,0
29,0,0,0,1,17,1,0,0,0,0,0,1,1,1,64,1093.1,1,1,0,0,1,0,0,0,0,0,1
30,0,1,1,0,71,1,1,1,1,1,1,0,0,1,96,6766.95,0,0,1,0,0,0,1,0,1,0,0
31,1,1,1,0,2,1,0,0,0,1,0,1,1,1,95,181.65,0,0,1,0,1,0,0,0,1,0,0
32,0,0,1,1,27,1,0,1,1,1,1,0,0,0,66,1874.45,0,1,0,0,0,1,0,0,0,0,1
33,1,0,0,0,1,1,0,0,0,0,0,0,0,0,20,20.2,0,0,0,1,1,0,0,1,0,0,0
34,1,1,0,0,1,1,0,0,0,0,0,0,0,0,45,45.25,0,1,0,0,1,0,0,1,0,0,0
35,0,0,1,1,72,1,1,1,1,0,1,1,0,0,99,7251.7,0,0,1,0,0,0,1,1,0,0,0
36,1,0,0,0,5,1,0,0,0,0,0,0,0,1,69,316.9,1,0,1,0,1,0,0,0,0,1,0
37,0,0,0,0,46,1,0,0,0,1,0,0,0,1,74,3548.3,0,0,1,0,1,0,0,0,1,0,0
38,1,0,0,0,34,1,1,0,1,1,0,1,1,1,106,3549.25,1,0,1,0,1,0,0,0,0,1,0
39,0,0,0,0,11,1,1,0,0,1,0,1,1,1,97,1105.4,1,0,1,0,1,0,0,1,0,0,0
40,1,0,1,1,10,1,0,0,1,0,0,0,0,0,49,475.7,0,1,0,0,0,1,0,0,0,0,1
41,0,0,1,1,70,1,1,1,1,0,0,1,0,1,69,4872.35,0,1,0,0,0,0,1,0,1,0,0
42,0,0,1,1,17,1,0,0,0,0,0,0,0,0,20,418.25,0,0,0,1,0,1,0,0,0,0,1
43,0,0,0,0,63,1,1,1,1,1,1,1,0,1,79,4861.45,0,1,0,0,0,0,1,0,1,0,0
44,0,0,1,0,13,1,1,1,1,0,1,1,0,1,76,981.45,0,1,0,0,1,0,0,0,0,1,0
45,0,0,0,0,49,1,1,0,0,0,0,0,1,1,84,3906.7,0,0,1,0,1,0,0,0,0,1,0
46,1,0,0,0,2,1,0,0,1,0,0,0,0,0,49,97.0,0,1,0,0,1,0,0,0,0,0,1
47,0,0,0,0,2,1,0,0,0,0,0,1,0,1,80,144.15,1,0,1,0,1,0,0,0,0,1,0
48,1,0,0,0,52,1,1,1,0,0,1,1,1,1,79,4217.8,0,1,0,0,0,0,1,0,1,0,0
49,0,0,1,1,69,1,1,1,0,1,1,0,0,1,64,4254.1,0,1,0,0,0,0,1,0,1,0,0
50,0,1,0,0,43,1,1,0,1,0,0,1,0,1,90,3838.75,0,0,1,0,1,0,0,0,0,1,0
51,0,0,0,0,15,1,0,1,1,0,0,1,1,1,99,1426.4,1,0,1,0,1,0,0,0,1,0,0
52,0,1,1,0,25,1,1,1,0,0,1,1,0,1,69,1752.65,0,1,0,0,1,0,0,0,1,0,0
53,0,1,1,0,8,1,1,0,1,0,0,0,0,1,80,633.3,1,0,1,0,1,0,0,0,1,0,0
54,0,1,1,1,60,1,0,1,1,1,1,0,1,1,74,4456.35,0,1,0,0,0,1,0,0,1,0,0
55,1,1,0,0,18,1,1,0,0,0,0,1,1,1,95,1752.55,1,0,1,0,1,0,0,0,0,1,0
56,0,0,1,1,63,1,1,1,0,0,0,1,1,1,99,6311.2,0,0,1,0,0,1,0,0,1,0,0
57,1,1,1,1,66,1,1,0,1,1,1,1,1,1,108,7076.35,0,0,1,0,0,1,0,0,0,1,0
58,0,0,1,1,34,1,1,0,0,0,0,0,0,0,24,894.3,0,0,0,1,0,0,1,0,1,0,0
59,0,0,0,0,72,1,1,0,0,1,1,1,1,1,107,7853.7,0,0,1,0,0,0,1,0,1,0,0
